,instance,hate_count,url_count,mentions_count,hashtag_count,hate_avg,url_avg,mentions_avg,hashtag_avg,users,posts,nsfw,media_removal,fed_time_rem,reject,quaran_inst,accept,avatar,banner,followers_only,report,reject_deletes,hate_perc,url_perc,mentions_perc,hash_perc,followers_count,following_count,reblogs_count,replies_count,active_halfyear,active_month,hash_ftr,hash_rej,hash_sen,blocked,users_tr,posts_tr,hate_tr,url_tr
885,vernunftzentrum.de,5407.0,467.0,1984.0,799.0,1.9784120014635929,0.1708744968898646,0.726207906295754,0.2924597364568082,8.0,15857.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287596048298573,0.07793633369923161,0.27424076106842304,0.06476399560922064,278535,13139,8,29,0.0,0.0,0.0,0.0,1.0,1,1.414213562373095,5.012297471016201,4.189472991047237,2.7853908638323133
886,vnil.de,11542.0,1966.0,9054.0,1496.0,0.7032230548955096,0.11978309876317553,0.5516695101145503,0.09115281501340483,30.0,878.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11405593127399015,0.04837628708950222,0.2013343081703528,0.029458356181075975,3405,706,8,2,0.0,0.0,0.0,0.0,1.0,0,1.762734383267615,3.094442515271768,4.7538650054650775,3.5394076528856373
887,vostain.net,1850.0,79.0,1267.0,140.0,1.291899441340782,0.055167597765363126,0.8853948287910552,0.09783368273934312,3.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22486033519553075,0.025139664804469275,0.253840782122905,0.0223463687150838,469696,3127,3,1,0.0,0.0,0.0,0.0,1.0,0,1.2009369551760027,3.0926777901782696,3.50371378139275,2.0714343887814084
888,vucica.net,7706.0,653.0,3264.0,1025.0,1.8136032007531184,0.1536832195810779,0.7683615819209041,0.2412900188323917,1.0,2970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2864203341962815,0.06919275123558484,0.30301247352318195,0.05389503412567663,430118,11030,3,17,0.0,0.0,0.0,0.0,0.0,0,1.0,3.7913400759082996,4.444315012640112,2.945453676190632
889,wall.demouliere.eu,4839.0,638.0,3154.0,1166.0,1.3849456210646822,0.18259874069834,0.9029487546521616,0.33381047809905523,1.0,530.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2318259874069834,0.0815684029765312,0.2957927876359473,0.0755580995993131,282047,23878,19,29,0.0,0.0,0.0,0.0,1.0,0,1.0,2.844762263277277,4.1126896387689165,2.934067583033161
890,webcabin.xyz,49351.0,2703.0,59734.0,3016.0,1.8910602751274093,0.1035751235774227,2.2890098099325566,0.11557326793378295,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2572517913936468,0.033298846610721536,0.3698317814308158,0.02109437866421428,5329,468,2,26,0.0,0.0,0.0,0.0,0.0,0,1.2599210498948732,1.6983813295649528,6.056420110479537,3.7322810602664855
891,weeaboo.space,239321.0,29694.0,172949.0,42600.0,1.2001815409921566,0.14891376301378104,0.8673339919660186,0.21363770856005174,249.0,105369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20573559206435174,0.05745872700647931,0.26697558725000503,0.05588904936711401,42944,28019,31,98,0.0,0.0,0.0,0.0,0.0,1,2.508225378939518,6.872564267152899,7.879466283062685,5.564738799698387
892,were.social,33412.0,996.0,22385.0,613.0,2.524518322629392,0.0752550056667926,1.6914764999244372,0.046320084630497214,9.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3047223271628258,0.03502077823951644,0.3338874197204382,0.012278050623347185,3687,1763,2,21,0.0,0.0,0.0,0.0,1.0,0,1.4422495703074083,1.8086089434116457,5.675233640464858,3.160165952806443
893,westernconnect.org,2989.0,1867.0,943.0,1058.0,1.5882040382571732,0.9920297555791712,0.5013290802764487,0.5624667729930888,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2680658873538789,0.2914452709883103,0.19899043570669503,0.14798087141339003,1507,347,1,5,0.0,0.0,0.0,0.0,0.0,1,1.2009369551760027,1.414213562373095,3.795371736683394,3.509059398477528
894,wetfish.space,28420.0,1523.0,29023.0,2929.0,1.2789703433688853,0.06853876963232977,1.3061656165616562,0.1318181818181818,59.0,4113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21547185095180235,0.029724134827415507,0.3087394806714369,0.03791458530219162,418131,14589,19,14,0.0,0.0,0.0,0.0,0.0,1,1.9730677676839334,4.002762154255592,5.524216350194845,3.3919542339280846
